"seguridad;db_villa_maria_catalogo;catalogo;sig_seguridad;;seguridad;Seguridad;orden:1000,seguridad,control,policia;;4326;gid;;;gid,geom, nombre, direccion;Construcción destinada al asiento de la autoridad encargada de la seguridad y del cumplimieto de penas previstas en sentencias judiciales.;edificio_seguridad_visor;edificio_seguridad_visor.svg"
"seguridad;db_villa_maria_catalogo;catalogo;sig_emergencias;;emergencias;Emergencias;orden:1001,emergencias,urgencias;;4326;gid;;;gid,geom, nombre, direccion;Centros destinados a la extinción de incendios y emergencias médicas y sanitarias;emergencias;emergencias.svg"
"seguridad;db_villa_maria_catalogo;catalogo;sig_semaforos;;semaforos;Semáforos;orden: 1002, semaforos;;4326;gid;;;gid,geom;Semáforos;semaforos;"
"seguridad;db_villa_maria_catalogo;catalogo;sig_cuadrantes;;cuadrantes;Cuadrantes;orden:1003,cuadrantes,patrullaje,prevencion;;4326;gid;;;gid,geom, nombre;Cuadrantes de seguridad que permiten un mejor patrullaje preventivo.;cuadrantes;"
"villa_maria;db_villa_maria_public;public;parcelas;;parcelas;Parcelas;orden:100,parcelas,cuadras,manzanas;;4326;gid;;;gid,geom, estado, nombre;Parcelas urbanas y rurales de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;circunscripciones;;circunscripciones;Circunscripciones;orden:101,circunscripciones,catastro;;4326;gid;;;gid,geom, nombre;Circunscripciones catastrales de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;secciones;;secciones;Secciones;orden:102,secciones,catastro;;4326;gid;;;gid,geom, nombre;Secciones catastrales de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;radio_urbano;;radio_urbano;Radio urbano;orden:103,radio,catastro;;4326;gid;;;gid,geom, ;Radio urbano de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;red_agua;;red_agua;Red de agua potable;orden:200,agua,servicios;;4326;gid;;;gid,geom, estado;Cobertura del servicio sanitario de red de agua corriente.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;red_cloacas;;red_cloacas;Red de cloacas;orden:201,cloacas,servicios;;4326;gid;;;gid,geom, estado;Cobertura del servicio sanitario de red de cloacas.;line_villamaria;"
